time	Eall.5	Eall1.0	Eall2.0	Eall4.0	Eall6.0	Eall8.0
143	0.000714	0.00143	0.00284	0.00564	0.00839	0.0111
143.5	0.000717	0.00143	0.00285	0.00566	0.00841	0.0111
144	0.000719	0.00144	0.00286	0.00568	0.00844	0.0112
144.5	0.000722	0.00144	0.00287	0.00569	0.00847	0.0112
145	0.000724	0.00145	0.00288	0.00571	0.0085	0.0112
145.5	0.000727	0.00145	0.00289	0.00573	0.00853	0.0113
146	0.000729	0.00146	0.0029	0.00575	0.00856	0.0113
146.5	0.000732	0.00146	0.00291	0.00577	0.00859	0.0114
147	0.000734	0.00147	0.00292	0.00579	0.00862	0.0114
147.5	0.000737	0.00147	0.00293	0.00581	0.00865	0.0114
148	0.000739	0.00148	0.00294	0.00583	0.00867	0.0115
148.5	0.000742	0.00148	0.00295	0.00585	0.0087	0.0115
149	0.000744	0.00149	0.00296	0.00587	0.00873	0.0115
149.5	0.000747	0.00149	0.00297	0.00589	0.00876	0.0116
150	0.000749	0.0015	0.00298	0.00591	0.00879	0.0116
150.5	0.000752	0.0015	0.00299	0.00593	0.00882	0.0117
151	0.000754	0.00151	0.003	0.00595	0.00885	0.0117
151.5	0.000757	0.00151	0.00301	0.00597	0.00888	0.0117
152	0.000759	0.00152	0.00302	0.00599	0.00891	0.0118
152.5	0.000762	0.00152	0.00303	0.00601	0.00893	0.0118
153	0.000764	0.00153	0.00304	0.00603	0.00896	0.0119
153.5	0.000767	0.00153	0.00305	0.00605	0.00899	0.0119
154	0.000769	0.00154	0.00306	0.00607	0.00902	0.0119
154.5	0.000772	0.00154	0.00307	0.00608	0.00905	0.012
155	0.000774	0.00155	0.00308	0.0061	0.00908	0.012
155.5	0.000777	0.00155	0.00309	0.00612	0.00911	0.012
156	0.000779	0.00156	0.0031	0.00614	0.00914	0.0121
156.5	0.000782	0.00156	0.00311	0.00616	0.00917	0.0121
157	0.000784	0.00157	0.00312	0.00618	0.00919	0.0122
157.5	0.000787	0.00157	0.00313	0.0062	0.00922	0.0122
158	0.000789	0.00158	0.00314	0.00622	0.00925	0.0122
158.5	0.000792	0.00158	0.00315	0.00624	0.00928	0.0123
159	0.000794	0.00159	0.00316	0.00626	0.00931	0.0123
159.5	0.000797	0.00159	0.00317	0.00628	0.00934	0.0123
160	0.000799	0.0016	0.00318	0.0063	0.00937	0.0124
160.5	0.000802	0.0016	0.00319	0.00632	0.0094	0.0124
161	0.000804	0.00161	0.0032	0.00634	0.00942	0.0125
161.5	0.000807	0.00161	0.00321	0.00636	0.00945	0.0125
162	0.000809	0.00161	0.00322	0.00638	0.00948	0.0125
162.5	0.000812	0.00162	0.00323	0.0064	0.00951	0.0126
163	0.000814	0.00162	0.00324	0.00642	0.00954	0.0126
163.5	0.000817	0.00163	0.00325	0.00644	0.00957	0.0126
164	0.000819	0.00163	0.00326	0.00645	0.0096	0.0127
164.5	0.000822	0.00164	0.00327	0.00647	0.00963	0.0127
165	0.000824	0.00164	0.00328	0.00649	0.00966	0.0128
165.5	0.000827	0.00165	0.00329	0.00651	0.00968	0.0128
166	0.000829	0.00165	0.0033	0.00653	0.00971	0.0128
166.5	0.000832	0.00166	0.00331	0.00655	0.00974	0.0129
167	0.000834	0.00166	0.00331	0.00657	0.00977	0.0129
167.5	0.000837	0.00167	0.00332	0.00659	0.0098	0.0129
168	0.000839	0.00167	0.00333	0.00661	0.00983	0.013
168.5	0.000842	0.00168	0.00334	0.00663	0.00986	0.013
169	0.000844	0.00168	0.00335	0.00665	0.00989	0.0131
169.5	0.000847	0.00169	0.00336	0.00667	0.00991	0.0131
170	0.000849	0.00169	0.00337	0.00669	0.00994	0.0131
170.5	0.000852	0.0017	0.00338	0.00671	0.00997	0.0132
171	0.000854	0.0017	0.00339	0.00673	0.01	0.0132
171.5	0.000857	0.00171	0.0034	0.00675	0.01	0.0133
172	0.000859	0.00171	0.00341	0.00677	0.0101	0.0133
172.5	0.000862	0.00172	0.00342	0.00679	0.0101	0.0133
173	0.000864	0.00172	0.00343	0.00681	0.0101	0.0134
173.5	0.000867	0.00173	0.00344	0.00682	0.0101	0.0134
174	0.000869	0.00173	0.00345	0.00684	0.0102	0.0134
174.5	0.000872	0.00174	0.00346	0.00686	0.0102	0.0135
175	0.000874	0.00174	0.00347	0.00688	0.0102	0.0135
175.5	0.000877	0.00175	0.00348	0.0069	0.0103	0.0136
176	0.000879	0.00175	0.00349	0.00692	0.0103	0.0136
176.5	0.000882	0.00176	0.0035	0.00694	0.0103	0.0136
177	0.000884	0.00176	0.00351	0.00696	0.0103	0.0137
177.5	0.000886	0.00177	0.00352	0.00698	0.0104	0.0137
178	0.000889	0.00177	0.00353	0.007	0.0104	0.0137
178.5	0.000891	0.00178	0.00354	0.00702	0.0104	0.0138
179	0.000894	0.00178	0.00355	0.00704	0.0105	0.0138
179.5	0.000896	0.00179	0.00356	0.00706	0.0105	0.0139
180	0.000899	0.00179	0.00357	0.00708	0.0105	0.0139
180.5	0.000901	0.0018	0.00358	0.0071	0.0105	0.0139
181	0.000904	0.0018	0.00359	0.00712	0.0106	0.014
181.5	0.000906	0.00181	0.0036	0.00714	0.0106	0.014
182	0.000909	0.00181	0.00361	0.00716	0.0106	0.014
182.5	0.000911	0.00182	0.00362	0.00717	0.0107	0.0141
183	0.000914	0.00182	0.00363	0.00719	0.0107	0.0141
183.5	0.000916	0.00183	0.00364	0.00721	0.0107	0.0142
184	0.000919	0.00183	0.00365	0.00723	0.0107	0.0142
184.5	0.000921	0.00184	0.00366	0.00725	0.0108	0.0142
185	0.000924	0.00184	0.00367	0.00727	0.0108	0.0143
185.5	0.000926	0.00185	0.00368	0.00729	0.0108	0.0143
186	0.000929	0.00185	0.00369	0.00731	0.0109	0.0143
186.5	0.000931	0.00186	0.0037	0.00733	0.0109	0.0144
187	0.000934	0.00186	0.00371	0.00735	0.0109	0.0144
187.5	0.000936	0.00187	0.00372	0.00737	0.0109	0.0145
188	0.000939	0.00187	0.00373	0.00739	0.011	0.0145
188.5	0.000941	0.00188	0.00374	0.00741	0.011	0.0145
189	0.000944	0.00188	0.00375	0.00743	0.011	0.0146
189.5	0.000946	0.00189	0.00376	0.00745	0.0111	0.0146
190	0.000949	0.00189	0.00377	0.00747	0.0111	0.0146
190.5	0.000951	0.0019	0.00378	0.00749	0.0111	0.0147
191	0.000954	0.0019	0.00379	0.0075	0.0111	0.0147
191.5	0.000956	0.00191	0.0038	0.00752	0.0112	0.0148
192	0.000959	0.00191	0.00381	0.00754	0.0112	0.0148
192.5	0.000961	0.00192	0.00382	0.00756	0.0112	0.0148
193	0.000964	0.00192	0.00383	0.00758	0.0113	0.0149
193.5	0.000966	0.00193	0.00384	0.0076	0.0113	0.0149
194	0.000969	0.00193	0.00385	0.00762	0.0113	0.0149
194.5	0.000971	0.00194	0.00386	0.00764	0.0113	0.015
195	0.000974	0.00194	0.00387	0.00766	0.0114	0.015
